Name,Score,Japanese name,Type,Favorites,Completed
Last Waltz: Hakudaku Mamire no Natsu Gasshuku,6.32,Last Waltz～白濁まみれの夏合宿～,OVA,13,2444
Uchuu Show e Youkoso,7.35,宇宙ショーへようこそ,Movie,45,9005
Gotou ni Naritai.,7.09,５等になりたい。,Movie,4,943
Cooking Papa,6.58,クッキングパパ,TV,3,310
Kuragehime,8.13,海月姫,TV,3908,114366
Mighty Orbots,5.89,マイティ・オーボッツ,TV,1,196
Chou Deneiban SD Gundam Sangokuden Brave Battle Warriors,5.91,超電影版SDガンダム三国伝 Brave Battle Warriors,Movie,3,886
Precure All Stars Movie DX2: Kibou no Hikari☆Rainbow Jewel wo Mamore!,7.13,映画 プリキュアオールスターズDX2 希望の光☆レインボージュエルを守れ!,Movie,9,3449
"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de Arimasu!!",7.15,超劇場版ケロロ軍曹 誕生!究極ケロロ奇跡の時空島であります!!,Movie,4,1753
Shin Minashigo Hutch,6.33,新みなしごハッチ,TV,0,305
Konchuu Monogatari Minashigo Hutch (1989),6.49,昆虫物語みなしごハッチ,TV,0,619
Konchuu Monogatari Mitsubachi Hutch: Yuuki no Melody,6.1,昆虫物語 みつばちハッチ～勇気のメロディ～,Movie,0,194
Colorful (Movie),7.83,カラフル,Movie,998,81545
Sockies: Frontier Quest,Unknown,ソッキーズ フロンティアクエスト,TV,0,47
Gegege no Kitarou: Nippon Bakuretsu,6.45,劇場版 ゲゲゲの鬼太郎 日本爆裂!!,Movie,1,386
Gegege no Kitarou: Daikaijuu,6.22,ゲゲゲの鬼太郎 大海獣,Movie,0,367
Gegege no Kitarou (1968 Movie),6.15,ゲゲゲの鬼太郎,Movie,2,427
Gegege no Kitarou: Chisougan,5.88,ゲゲゲの鬼太郎 地相眼,Movie,0,312
Gegege no Kitarou (1985 Movie),6.1,ゲゲゲの鬼太郎,Movie,0,270
Gegege no Kitarou: Youkai Daisensou,6.11,ゲゲゲの鬼太郎 妖怪大戦争,Movie,1,213
Gegege no Kitarou: Saikyou Youkai Gundan! Nippon Jouriku!!,6.25,ゲゲゲの鬼太郎 最強妖怪軍団！日本陸!!,Movie,0,205
Gegege no Kitarou: Gekitotsu!! Ijigen Youkai no Daihanran,Unknown,ゲゲゲの鬼太郎 激突!!異次元妖怪の大反乱,Movie,0,185
Gegege no Kitarou: Obake Nighter,6.13,ゲゲゲの鬼太郎　おばけナイター,Movie,1,241
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,6.07,ゲゲゲの鬼太郎 妖怪特急！まぼろしの汽車,Movie,0,290
Gegege no Kitarou: Jigoku-hen,6.23,ゲゲゲの鬼太郎　地獄編,TV,0,222
Mugen Shinshi: Bouken Katsugeki-hen,5.48,夢幻紳士　冒険活劇編,OVA,0,448
One Piece Recap,7.16,ワンピース,OVA,16,11735
Teinenpi Shoujo Heidi,5.8,低燃費少女ハイジ,ONA,1,257
Fujoshi no Hinkaku,6.12,腐女子の品格,OVA,0,414
Eagle Sam,Unknown,イーグルサム,TV,0,86
Koisuru Tenshi Angelique: Chibi Character Adventure 2,5.95,恋する天使アンジェリーク ちびキャラAdventure 2,Special,1,240
Adachi-ga Hara,6.03,安達が原,Movie,0,653
Bouken Shounen Shadar,Unknown,冒険少年シャダー,TV,0,159
Bouken Korobokkuru,Unknown,冒険コロボックル,TV,0,172
Bouken Gabotenjima,Unknown,冒険ガボテン島,TV,1,116
Fumiko no Kokuhaku,6.66,フミコの告白,ONA,12,19522
The World of Golden Eggs,Unknown,ザ・ワールド・オブ・ゴールデン・エッグス,TV,4,124
Nodame Cantabile: Finale OVA,7.59,のだめカンタービレ OVA 2,OVA,10,19204
Hoshi Shinichi Short Short,Unknown,星新一 ショートショート,TV,0,62
Hoshi Shinichi Short Short Special,Unknown,星新一ショートショート,Special,0,52
Akuma-kun,6.17,悪魔くん,TV,1,220
Guru Guru Town Hanamaru-kun,Unknown,ぐるぐるタウン　はなまるくん,TV,0,108
Kawasaki Frontale x Tentai Senshi Sunred 2nd Season,Unknown,KAWASAKI Frontale×天体戦士サンレッド,Special,0,172
So Ra No Wo To Specials,7.55,ソ・ラ・ノ・ヲ・ト,Special,12,18670
Norabbits' Minutes,Unknown,ノラビッツミニッツ,Movie,1,69
Hime Chen! Otogi Chikku Idol Lilpri,7,ひめチェン! おとぎちっくアイドル リルぷりっ,TV,65,3529
Jigoku Sensei Nube (Movie),6.63,地獄先生ぬ〜べ〜,Movie,1,1110
Dance in the Vampire Bund: Special Edition,6.55,ダンス イン ザ ヴァンパイアバンド 特別編 ～Special Edition～,Special,17,9250
Hoka Hoka Kazoku,5.8,ほかほか家族,TV,0,311
"Tekkamen wo Oe: ""d'Artagnan Monogatari"" yori",6.11,鉄仮面を追えダルタニャン物語より,Special,0,299
Genji Tsuushin Agedama,6.33,ゲンジ通信あげだま,TV,2,205
Aa Harimanada,6.12,ああ播磨灘,TV,6,506
Jewelpet Twinkle☆,7.38,ジュエルペット てぃんくる☆,TV,96,4665
Fushigi na Elevator,Unknown,ふしぎなエレベーター,Movie,0,150
Baby Felix,5.52,ベイビーフィリックス,TV,1,207
Akuma-kun (Movie),5.85,悪魔くん,Movie,0,250
Akuma-kun: Youkoso Akuma Land e!!,5.78,悪魔くん ようこそ悪魔ランドへ!!,Movie,1,204
Jigoku Sensei Nube: Gozen 0 Ji Nube Shisu!,6.72,地獄先生ぬ～べ～　午前0時ぬ～べ～死す！！,Movie,2,900
"on-chan, Yume Power Daibouken!",Unknown,onちゃん夢パワー大冒険！,Special,1,58
True Tears Epilogue,6.66,true tears,Music,4,8513
Princess Lover!: Magical Knight Maria-chan,5.73,プリンセスラバー! マジカル騎士マリアちゃん特別予告,Special,3,5336
Genji,Unknown,源氏,OVA,1,146
Muumin,7.06,ムーミン,TV,29,2376
Muumin (1972),6.58,ムーミン,TV,7,953
Anime Yasei no Sakebi,Unknown,アニメ野性のさけび,TV,1,141
Wanpaku Oomukashi Kum Kum,6.1,わんぱく大昔クムクム,TV,0,189
Rio: Rainbow Gate!,5.89,リオ レインボーゲート!,TV,36,14909
Mizuki Shigeru no Toono Monogatari,Unknown,水木しげるの遠野物語,Movie,0,38
Keshikasu-kun,Unknown,ケシカスくん,TV,0,24
Metal Fight Beyblade vs. Taiyou: Shakunetsu no Shinryakusha Sol Blaze,6.56,劇場版メタルファイト ベイブレードVS太陽 ～灼熱の侵略者ソルブレイズ～,Movie,12,2966
Naruto: Shippuuden Movie 4 - The Lost Tower,7.42,劇場版 NARUTO-ナルト-疾風伝 ザ・ロストタワー,Movie,233,155056
Bleach Movie 4: Jigoku-hen,7.61,劇場版 BLEACH 地獄篇,Movie,421,139888
Soukou Kihei Votoms: Case;Irvine,6.51,装甲騎兵ボトムズ Case;IRVINE,OVA,3,1515
Votoms Finder,6.21,ボトムズファインダー,OVA,0,1541
Soukou Kihei Votoms: Koei Futatabi,6.93,装甲騎兵ボトムズ 孤影再び,OVA,0,1468
Damen's Walker,Unknown,だめんずうぉ～か～ THE アニメ,ONA,0,67
Kanin Tokkyuu Michishio,5.76,姦淫特急 満潮,OVA,3,746
Hyakka Ryouran: Samurai Girls,6.83,百花繚乱 サムライガールズ,TV,275,91219
Biohazard 4: Incubate,6.19,バイオハザード4 Incubate,OVA,8,3832
Ai no Senshi Rainbowman,6.46,愛の戦士レインボーマン,TV,9,308
SD Gundam Sangokuden Brave Battle Warriors,6.34,SDガンダム三国伝 Brave Battle Warriors,TV,2,1640
Toumei Ningen R,6.43,透明人間R,OVA,4,2651
Inmu Gakuen: Inmu ni Torawareta Bijin Shimai,6.12,淫夢学園 「淫夢に囚われた美人姉妹」,OVA,3,1357
Ojousama wa H ga Osuki: The Animation,7.15,お嬢様はHがお好き～THE ANIMATION～,OVA,74,5694
Seitokaichou Hikaru,6.29,聖徒会長ヒカル,OVA,14,2479
Gakuen Saimin Reido,6.71,学園催眠隷奴,OVA,57,5461
Shinshou Genmukan,6.47,真章 幻夢館,OVA,14,1572
Planzet,5.61,プランゼット,Movie,3,2481
Ladies versus Butlers! Specials,6.39,れでぃ×ばと!,Special,29,21808
Koutetsu Sangokushi Special,6.36,鋼鉄三国志,Special,0,340
Magic Kaito,7.81,まじっく快斗,Special,339,30835
Tegamibachi Reverse,7.78,テガミバチ REVERSE,TV,228,31166
Piece,6.07,ピース,Music,0,1354
Tentai Senshi Sunred: Short Corner,6.5,天体戦士サンレッド ショートコーナー,Special,1,377
Kawasaki Frontale x Tentai Senshi Sunred,6.02,KAWASAKI Frontale×天体戦士サンレッド,Special,0,222
Sayonara Zetsubou Sensei Jo: Zoku Zetsubou Shoujo Senshuu,7.45,さよなら絶望先生 序〜俗・絶望少女撰集〜,Special,7,4575
Pelican Road Club Caroucha,5.85,ペリカンロード　クラブ・カルーチャ,OVA,0,190
Detective Conan Magic File 4: Osaka Okonomiyaki Odyssey,7.52,名探偵コナンMAGIC FILE 4 ～大阪お好み焼きオデッセイ～,OVA,14,7328
Kudan,6.43,クダン,Movie,0,178
Kodomo no Keijijougaku,5.66,こどもの形而上学,ONA,0,676
Hanakappa,Unknown,はなかっぱ,TV,1,0
Shoka,6,書家,Special,0,2653
Kachou no Koi,6.19,課長の恋,OVA,17,7958
Ukkari Pénélope,Unknown,うっかりペネロペ,TV,0,85
Ukkari Pénélope OVA,Unknown,メリークリスマス、ペネロペ / ペネロペのクリスマスパーティー,OVA,0,62
Tengen Toppa Gurren Lagann: Parallel Works 2,6.94,グレンラガン パラレルワークス 2,Music,15,13669
Ketsuinu,Unknown,ケツ犬,TV,1,84
Himitsukessha Taka no Tsume The Movie 1: Soutou wa Nido Shinu,Unknown,秘密結社鷹の爪 THE MOVIE　総統は二度死ぬ,Movie,0,106
Himitsukessha Taka no Tsume The Movie II: Watashi wo Aishita Kuro Oolong-Cha,Unknown,秘密結社鷹の爪 THE MOVIE II　私を愛した黒烏龍茶,Movie,0,108
Himitsukessha Taka no Tsume The Movie 3: http://takanotsume.jp wa Eien ni,Unknown,秘密結社鷹の爪 THE MOVIE3 http://鷹の爪.jp は永遠に,Movie,0,110
Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,6.89,映画 クレヨンしんちゃん　アクション仮面ＶＳハイグレ魔王,Movie,4,4253
Crayon Shin-chan Movie 04: Henderland no Daibouken,7.12,クレヨンしんちゃん ヘンダーランドの大冒険,Movie,6,3786
Crayon Shin-chan Movie 06: Dengeki! Buta no Hizume Daisakusen,6.94,映画 クレヨンしんちゃん　電撃！ブタのヒヅメ大作戦,Movie,2,2418
Crayon Shin-chan Movie 07: Bakuhatsu! Onsen Wakuwaku Daikessen,6.7,映画 クレヨンしんちゃん　爆発！温泉わくわく大決戦,Movie,0,1980
Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,7.17,映画 クレヨンしんちゃん　嵐を呼ぶジャングル,Movie,5,3736
Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,7.02,映画 クレヨンしんちゃん 嵐を呼ぶ栄光のヤキニクロード,Movie,3,2228
Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,7.02,映画 クレヨンしんちゃん　嵐を呼ぶ！夕陽のカスカベボーイズ,Movie,1,1963
Crayon Shin-chan Movie 13: Densetsu wo Yobu Buriburi 3 Pun Dai Shingeki,6.63,映画 クレヨンしんちゃん　伝説を呼ぶ　ブリブリ　３分ポッキリ大進撃,Movie,3,1665
Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,6.65,映画 クレヨンしんちゃん　伝説を呼ぶ　踊れ！アミーゴ！,Movie,1,1873
Crayon Shin-chan Movie 16: Chou Arashi wo Yobu Kinpoko no Yuusha,6.66,クレヨンしんちゃん ちょ～嵐を呼ぶ 金矛の勇者,Movie,1,1899
Crayon Shin-chan Movie 17: Otakebe! Kasukabe Yasei Oukoku,6.78,クレヨンしんちゃん オタケベ!カスカベ野生王国,Movie,1,1705
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.32,クレヨンしんちゃん 超時空！嵐を呼ぶオラの花嫁,Movie,6,2717
Makoto-chan,Unknown,まことちゃん,Movie,1,140
Shin Mitsubachi Maya no Bouken,6.32,新みつばちマーヤの冒険,TV,4,1982
Chogattai Majutsu Robot Ginguiser,6.06,超合体魔術ロボ　ギンガイザー,TV,3,239
Cyborg 009 (TV),6.89,サイボーグ009,TV,16,2290
Bonobono: Kumomo no Ki no Koto,Unknown,ぼのぼの クモモの木のこと,Movie,1,123
Sora no Otoshimono: Forte,7.55,そらのおとしものf（フォルテ）,TV,997,200435
Durarara!! Specials,7.9,デュラララ!!,Special,205,120416
Marie & Gali ver. 2.0,5.94,マリー＆ガリー ver.2.0,TV,0,249
Metal Fight Beyblade: Baku,6.78,メタルファイト ベイブレード～爆～,TV,95,26537
Oi! Ryouma,Unknown,お〜い!竜馬,TV,0,99
Bonobono,Unknown,ぼのぼの,Movie,1,165
Bonobono (TV) Specials,Unknown,ぼのぼの,Special,1,102
Vampire Knight: Gekiai no Portrait,6.81,ヴァンパイア騎士 激愛の肖像～ポートレート～,Special,230,23928
Ookiku Furikabutte: Natsu no Scorebook,7.21,おおきく振りかぶって,OVA,3,1502
MM!,7.12,えむえむっ!,TV,694,144299
Gosick,8.1,GOSICK -ゴシック-,TV,7558,221312
Hourou Musuko,7.74,放浪息子,TV,994,40667
Mahou no Star Magical Emi: Kumo Hikaru,6.14,魔法のスターマジカルエミ 雲光る,OVA,1,306
Animentary: Ketsudan,Unknown,アニメンタリー 決断,TV,7,157
Pokemon Ranger: Hikari no Kiseki,6.44,ポケモンレンジャー 光の軌跡,Special,2,5493
Black Lagoon Omake,6.83,ブラック・ラグーン オマケ,Special,78,38092
Maze☆Bakunetsu Jikuu: Tenpen Kyoui no Giant,Unknown,MAZE☆爆熱時空 天変脅威の大巨人,Movie,0,173
Mahou no Star Magical Emi: Semishigure,6.05,魔法のスターマジカルエミ 蝉時雨,OVA,1,281
SAI: Part 1 / Revolving... to the Core,6.15,彩-SAI-(前編) / 廻る、巡る、その核へ,Music,1,285
Togainu no Chi,6.28,咎狗の血,TV,392,40571
Guskou Budori no Denki,6.26,グスコーブドリの伝記,Movie,0,223
Donguri to Yamaneko,5.95,宮沢賢治作品集 どんぐりと山猫,OVA,0,181
Queen's Blade: Utsukushiki Toushi-tachi,6.58,クイーンズブレイド 美しき闘士たち,OVA,21,9660
Yozakura Quartet: Hoshi no Umi,7.41,夜桜四重奏 ～ホシノウミ～,OVA,20,19215
Mirai Nikki OVA,7.27,未来日記,OVA,2835,156342
Pants no Ana: Mambo de Ganbo!,4.8,パンツの穴 まんぼでGANBO!,OVA,3,448
Ichiban Ushiro no Daimaou Specials,6.74,いちばんうしろの大魔王,Special,24,33775
Naoko no Tropic Angel: Hyouryuu,5.24,直子のトロピックエンジェル 〜漂流〜,OVA,0,236
Asura,7.06,アシュラ,Movie,76,16179
Otome Youkai Zakuro,7.47,おとめ妖怪 ざくろ,TV,393,55487
Doubutsu Kankyou Kaigi,Unknown,動物かんきょう会議,TV,1,81
Hetalia World Series,7.57,ヘタリア Ｗorld Series,ONA,1138,64816
"""Bungaku Shoujo"" Memoire",7.34,“文学少女”メモワール,OVA,36,15648
Kihei Senki Legacies,4.64,機兵戦記レガシーズ,ONA,0,386
Onigamiden,6.52,鬼神伝,Movie,13,6478
Digimon Adventure 3D: Digimon Grand Prix!,5.78,デジモンアドベンチャー3D デジモングランプリ！,Movie,6,5032
Digimon Savers 3D: Digital World Kiki Ippatsu!,6.05,デジモンセイバーズ3D デジタルワールド危機イッパツ！,Movie,2,3342
Kikansha Yaemon,Unknown,きかんしゃやえもん,Movie,1,59
Gegege no Kitarou: Kitarou no Yuurei Densha,5.99,ゲゲゲの鬼太郎 鬼太郎の幽霊電車,Movie,0,203
Kikansha Yaemon: D51 no Daibouken,Unknown,D51の大冒険 きかんしゃやえもん,Movie,2,99
Mahoutsukai Haley no Speed Story,Unknown,魔法使いハーレイのスピードストーリー,Movie,1,98
Neko Neko Fantasia,5.84,ねこ・ねこ・幻想曲,OVA,1,382
Haguregumo,6.05,浮浪雲,Movie,1,544
Chibikko Kaijuu Yadamon,Unknown,ちびっこ怪獣ヤダモン,TV,1,91
Fushigi Mahou Fun Fun Pharmacy,6.66,ふしぎ魔法 ファンファン・ファーマシィー,TV,14,422
Ikkitousen: Xtreme Xecutor Specials,6.58,一騎当千:Xtreme Xecutor,Special,9,7070
Break Blade 2: Ketsubetsu no Michi,7.75,ブレイクブレイド 訣別ノ路,Movie,27,49205
Baka to Test to Shoukanjuu Ni!,7.76,バカとテストと召喚獣 にっ！,TV,1260,257010
Mai-Otome Special: Otome no Inori,6.36,舞-乙HiME,Special,3,1647
Biriken,Unknown,ビリ犬,TV,0,78
Biriken Nandemo Shoukai,Unknown,ビリ犬なんでも商会,TV,0,80
Midoriyama Koukou Koushien-hen (Movie),Unknown,緑山高校　甲子園編（劇場版）,Movie,0,70
Sukeban Shoukai Cutie Lemon,5.24,スケ番商会 キューティレモン,OVA,0,195
The Kabocha Wine: Nita no Aijou Monogatari,Unknown,Ｔｈｅかぼちゃワイン ニタの愛情物語,Movie,2,136
Kami nomi zo Shiru Sekai,7.73,神のみぞ知るセカイ,TV,5610,358472
Honey Tokyo,5.75,ハニー東京,ONA,0,1229
"Katekyo Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",7.58,家庭教師ヒットマンREBORN! ボンゴレファミリー総登場! ボンゴレ式修学旅行、来る!!,ONA,139,20444
Hana no Kage,6,花の翳,ONA,1,597
Fortune Arterial: Akai Yakusoku,6.73,FORTUNE ARTERIAL 赤い約束,TV,507,73744
Gokujou!! Mecha Mote Iinchou Second Collection,6.21,極上!!めちゃモテ委員長 セカンドコレクション,TV,3,799
Toilet no Hanako-san,Unknown,トイレの花子さん,Movie,4,170
Shin Ace wo Nerae!,6.49,新・エースをねらえ!,TV,2,395
"Dr. Slump Movie 02: ""Hoyoyo!"" Uchuu Daibouken",6.45,Dr.SLUMP “ほよよ!”宇宙大冒険,Movie,0,674
Dr. Slump Movie 05: Arale-chan Hoyoyo! Yume no Miyako Mechapolis,6.12,Dr.スランプ アラレちゃん ほよよ!夢の都メカポリス,Movie,1,534
Dr. Slump Movie 08: Arale-chan Hoyoyo!! Tasuketa Same ni Tsurerarete...,6.07,Dr.スランプ アラレちゃん ほよよ!!助けたサメに連れられて...,Movie,0,495
Dr. Slump Movie 10: Arale no Bikkuriman,6.07,ドクタースランプ　アラレのびっくりバーン,Movie,0,478
Dr. Slump Movie 11: Dr. Mashirito & Abale-chan,6.04,劇場版Dr.SLUMP Dr.マシリト アバレちゃん,Movie,0,588
Time Bokan Series: Time Patroltai Otasukeman,6.2,タイムボカンシリーズ タイムパトロール隊 オタスケマン,TV,0,337
Hashire Melos (1981),5.5,走れメロス,Special,0,382
Shinryaku! Ika Musume,7.46,侵略!イカ娘,TV,954,92814
"Kyou, Koi wo Hajimemasu",6.49,今日、恋をはじめます,OVA,110,20442
Saint Elmo: Hikari no Raihousha,Unknown,セントエルモ・光の来訪者,Special,0,104
Chikyuu Monogatari Telepath 2500,Unknown,地球物語 テレパス2500,Movie,0,116
Rusuban,Unknown,るすばん,Movie,1,43
Aoi Taiken,4.72,青い体験,OVA,1,323
Aki-Sora: Yume no Naka,6.09,あきそら～夢の中～,OVA,131,53698
Future War 198X-nen,6.15,Future War 198X年,Movie,4,574
Kotencotenco,Unknown,こてんこてんこ,TV,1,64
Yuki,6.13,ゆき,Movie,2,187
Mayoi Neko Overrun! Specials,6.72,迷い猫ねこねこ劇場,Special,15,11152
Tegami: Haikei Juugo no Kimi e,6.32,手紙 ～拝啓 十五の君へ～,Music,1,537
Oshiri Kajiri Mushi,4.79,おしりかじり虫,Music,2,515
Detective Conan OVA 10: Kid in Trap Island,7.78,名探偵コナン ～KID in TRAP ISLAND～,OVA,20,11775
Ladies versus Butlers! Tokuten Disc Music Clip,5.83,れでぃ×ばと!,Special,4,6380
Digimon Xros Wars,6.73,デジモンクロスウォーズ,TV,105,24892
Good Morning,6.03,Good Morning,Music,36,3124
Chains & Rings,5.54,Chains & Rings,Music,0,827
Hidan no Aria,6.88,緋弾のアリア,TV,947,221678
YanYan Machiko,Unknown,やんやんマチコ,ONA,0,77
Chuuzumou,6.68,ちゅうずもう,Movie,4,507
Koisuru Boukun,7.11,恋する暴君,OVA,413,47923
Shin Koihime†Musou: Live Revolution,6.59,真恋姫†無双 LIVE Revolution,OVA,2,2686
Asatte Dance,5.63,あさってDance,OVA,5,283
Sylvanian Families,Unknown,シルバニアファミリー,Special,0,84
Kitte no Nai Okurimono,5.14,切手のないおくりもの,Music,0,286
44-hiki no Neko,4.61,44ひきのねこ,Music,4,1243
Self-Portrait,4.81,セルフポートレート,Special,0,601
Break Blade Picture Drama,6.65,ブレイクブレイド ピクチャードラマ,Special,6,2879
Newmanoid Cam: Cam Castin,6.48,Newmanoid CAM ～キャム＝キャスティン～,OVA,15,2381
Arbeit Shiyo!!,6.05,アルバイトしよっ!!,OVA,8,1880
Mahou Shoujo Isuka,6.32,魔法少女イスカ,OVA,23,2305
I☆Can,5.77,あい☆きゃん,OVA,33,3316
Bijukubo,6.41,美熟母,OVA,27,3723
I'm Here with You,5.59,I'm here with you ～アイム・ヒア・ウィズ・ユー～,Music,1,353
Minarai Chameleon,Unknown,みならいカメレオン,Music,0,138
Chimuchimucheri ChimChimCheree,4.77,チムチムチェリー ChimChimCheree,Music,1,453
Yokoo's 3 Animation Films,4.66,横尾忠則 アニメーション集 64-65,OVA,6,483
"Slime Boukenki: Umi da, Yeah!",5.7,スライム冒険記 ～海だ，イエー～,Special,2,460
Mazinkaiser SKL,7.06,マジンカイザー SKL,OVA,39,6124
Koi Hanabi,6,恋花火,Music,0,294
Seikon no Qwaser Picture Drama,5.97,聖痕のクェイサー ピクチャードラマ,Special,11,7715
Anokoro no Namida wa,5.63,あの頃のなみだは,Music,0,272
Pozzie,Unknown,ポッツィー,Special,0,46
Raja Maharaja,4.94,ラジャ・マハラジャ,Music,0,218
Seitokai Yakuindomo,7.6,生徒会役員共,TV,3096,235667
Amagami SS,7.36,アマガミSS,TV,2020,155410
Sangokushi (1985),6.33,三国志,Special,2,289
Sangokushi II: Amakakeru Otoko-tachi,6.26,三国志II 天翔ける英雄たち,Special,2,218
Saboten ga Nikui,5.31,サボテンがにくい,Music,0,171
Fuyu no Yoru no Ohanashi,5.38,冬の夜のおはなし,Music,1,163
Kitakaze Kozou no Kantarou,5.28,北風小僧の寒太郎,Music,0,327
Television,5.5,テレビ,ONA,0,399
Ryuuichi Manga Gekijou Onbu Obake,Unknown,おんぶおばけ,TV,1,82
Doraemon (2005),7.52,ドラえもん (2005),TV,159,5
Born by Myself,3.28,BORN BY MYSELF,ONA,1,1395
Shiroi Michi,5.49,白い道,Music,0,225
Mizutori,5.71,水鳥,Music,0,318
Apartment!,5.49,Apartment!,ONA,0,839
Uchuu Hikoushi no Uta,5.69,うちゅうひこうしのうた,Music,0,385
Phantom: Requiem for the Phantom Picture Drama,6.59,Phantom 〜Requiem for the Phantom〜 ピクチャー・ドラマ,Special,12,2623
SOS TV Walpurgis Night Fever,5.52,ワルプルギスナイトフィーバー,ONA,0,264
Wakusei Robo Danguard Ace tai Konchuu Robot Gundan,5.59,惑星ロボ ダンガードA[エース]対昆虫ロボット軍団,Movie,1,221
Pokemon: Pikachu Koori no Daibouken,6.36,ピカチュウ 氷の大冒険,Special,3,3489
SOS TV Walpurgis Night Fever Episode 0,5.38,ワルプルギスナイトフィーバー,Special,0,559
Akai Ito,6.52,赤い糸,Special,2,1589
Arigatou Thank You,5.03,ありがとサンキュ～,Music,0,271
Kumo ga Haretara,5.29,雲が晴れたら,Music,0,330
Itsumademo Tabibito,5.37,いつまでも旅人,Music,0,265
Donna Donna,5.33,ドナ ドナ,Music,0,215
Ten no Kawa,5.68,天の川,Music,1,542
Anime Rakugo Kan,Unknown,アニメ落語館,OVA,0,118
Nobiro Nobiro Daisuki na Ki,5.83,のびろのびろだいすきな木,Music,0,158
Soredemo Machi wa Mawatteiru,7.44,それでも町は廻っている,TV,180,22305
Code Geass: Hangyaku no Lelouch - Kiseki no Birthday,6.89,コードギアス 反逆のルルーシュ キセキの誕生日[バースデー],Special,45,17773
Omoide no Album,5.1,おもいでのアルバム,Music,0,216
Metropolitan Museum,5.11,メトロポリタン美術館（メトロポリタンミュージアム）,Music,0,331
Akai Boushi,5.47,赤い帽子,Music,0,405
Yuuki Hitotsu wo Tomo ni Shite,5.2,勇気一つを友にして,Music,0,218
Tousan no Tsukutta Uta,5.07,父さんのつくった歌,Music,0,223
One Piece Film: Strong World Episode 0,8,ワンピース　フィルム　ストロングワールド　エピソードゼロ,OVA,71,55825
Memory (ONA),6.22,メモリー,ONA,1,1584
Seikima II Humane Society: Jinrui Ai ni Michita Shakai,5.88,聖飢魔II HUMANE SOCIETY ~人類愛に満ちた社会~,OVA,0,251
Forestry,Unknown,フォレストリー,Special,0,94
Kaijuu no Ballad,4.97,怪獣のバラード,Music,0,318
Message Song,5.56,メッセージ・ソング,Music,0,189
Ultraman Kids: Haha wo Tazunete 3000-man Kounen,6.35,ウルトラマンキッズ 母をたずねて3000万光年,TV,3,178
Tales of the Abyss Special Fan Disc,6.58,テイルズ オブ ジ アビス スペシャルファンディスク,Special,3,1866
Bishoujo Senshi Sailor Moon Memorial,7.34,美少女戦士セーラームーン メモリアル,OVA,37,8821
Hajime Ningen Gyatoruz,5.99,はじめ人間ギャートルズ,TV,2,179
Hajime Ningen Gon,5.97,はじめ人間ゴン,TV,0,238
Futarigurashi,6.01,ふたり暮らし,TV,1,187
Shin Tenchi Muyou! Specials,6.86,新・天地無用!,Special,3,1859
Hiyokoi,7.33,ひよ恋,Special,177,62137
Ore no Imouto ga Konnani Kawaii Wake ga Nai,7.1,俺の妹がこんなに可愛いわけがない,TV,4554,413245
Happy Weekend,5.24,HAPPY WEEKEND,Music,0,181
Nekko-kun,5.33,ねっこ君,Music,0,202
3-tsu no Hanashi,5.03,新しい動画 3つのはなし,Special,0,332
Nobara no Julie,Unknown,野ばらのジュリー,TV,0,141
Avignon no Hashi de,5.03,アビニョンの橋で,Music,1,271
Hiyoko Gumo,5.47,ひよこぐも,Music,1,496
Nezha Nao Hai,6.42,哪吒鬧海,Movie,1,342
Inakappe Taishou,6.23,いなかっぺ大将,TV,0,171
Madobe Nanami no Windows 7 de PC Jisaku Ouen Commercial!!,6.2,窓辺ななみのWindows 7でPC自作応援コマーシャルっ!!,OVA,17,7795
Panty & Stocking with Garterbelt,7.73,パンティ＆ストッキングwithガーターベルト,TV,4565,182764
Okawari-Boy Starzan-S,Unknown,OKAWARI-BOY スターザンS,TV,1,106
Senkou no Night Raid Specials,6.87,閃光のナイトレイド,Special,3,2901
Alice SOS,6.02,アリスＳＯＳ,TV,2,298
Domo TV,6.29,どーもくん,TV,3,790
Shounen Ashibe (TV),Unknown,少年アシベ,TV,2,131
Shounen Ashibe 2,Unknown,少年アシベ２,TV,0,106
Taimanin Asagi Special,6.37,対魔忍アサギ,Special,20,3147
Gundam Neo Experience 0087: Green Divers,6.46,ガンダム新体験―００８７―グリーンダイバーズ,Movie,4,962
Senkou no Night Raid: Yogen,6.33,閃光のナイトレイド 預言,Special,3,2493
Kore wa Zombie Desu ka?,7.43,これはゾンビですか?,TV,3272,386973
Oishinbo: Nichibei Kome Sensou,6.21,美味しんぼ　日米コメ戦争,Movie,0,227
