Name,Score,Japanese name,Type,Favorites,Completed
Shin Shirayuki-hime Densetsu Prétear,7.2,新白雪姫伝説プリーティア,TV,457,33827
Air,7.32,AIR,TV,2704,170036
Aishiteruze Baby★★,7.48,愛してるぜ ベイベ★★,TV,571,59770
Akazukin Chacha,7.39,赤ずきんチャチャ,TV,88,5140
Ayashi no Ceres,7.23,妖しのセレス,TV,535,31162
Boys Be...,6.46,ボーイズ・ビー,TV,41,10371
Hana yori Dango,7.7,花より男子,TV,762,25257
Ou Dorobou Jing,7.23,王ドロボウ JING,TV,210,16532
Ou Dorobou Jing in Seventh Heaven,7.29,王ドロボウ JING in Seventh Heaven,OVA,29,7309
Bakuretsu Tenshi,6.81,爆裂天使,TV,257,34321
Chuuka Ichiban!,7.63,中華一番,TV,107,8203
Corrector Yui,6.83,コレクター・ユイ,TV,50,6825
Chou Henshin Cosprayers,4.95,超変身コス∞プレイヤー,TV,5,3567
Uchuu no Stellvia,7.38,宇宙のステルヴィア,TV,127,10722
Sakigake!! Cromartie Koukou,7.93,魁!! クロマティ高校,TV,1561,49634
El Hazard: The Alternative World,6.83,異次元の世界エルハザード,TV,10,6251
El Hazard: The Wanderers,6.97,神秘の世界エルハザード,TV,35,8190
El Hazard: The Magnificent World,7.32,神秘の世界エルハザード,OVA,91,9059
El Hazard 2: The Magnificent World,6.85,神秘の世界 エルハザード 第2期,OVA,5,5472
Final Approach,6.56,φなる・あぷろーち,TV,48,21798
Fruits Basket,7.69,フルーツバスケット,TV,9504,297921
Fullmetal Alchemist,8.17,鋼の錬金術師,TV,26564,880215
Full Moon wo Sagashite,7.96,満月をさがして,TV,1823,51760
Fushigi Yuugi,7.64,ふしぎ遊戯,TV,2277,53674
Fushigi Yuugi: Eikouden,6.86,ふしぎ遊戯 -永光伝,OVA,69,11630
Futakoi,6.49,双恋,TV,22,19836
Futakoi Alternative,6.91,フタコイ オルタナティブ,TV,71,13965
Gate Keepers,6.96,ゲートキーパーズ,TV,59,11013
Gate Keepers 21,6.79,ゲートキーパーズ21,OVA,23,5904
Gensoumaden Saiyuuki,7.59,幻想魔伝 最遊記,TV,833,22100
Saiyuuki Reload,7.41,最遊記RELOAD,TV,116,15616
Saiyuuki Reload Gunlock,7.42,最遊記RELOAD GUNLOCK,TV,51,10446
GetBackers,7.61,ゲットバッカーズ　奪還屋,TV,911,55921
Green Green,6.21,グリーングリーン,TV,263,79017
Gunslinger Girl,7.42,ガンスリンガー・ガール,TV,1140,82948
Hikaru no Go,8.11,ヒカルの碁,TV,2186,62705
Hunter x Hunter,8.42,HUNTER×HUNTER（ハンター×ハンター）,TV,9525,260968
Hunter x Hunter: Original Video Animation,8.33,HUNTER×HUNTER Original Video Animation,OVA,408,80683
Hunter x Hunter: Greed Island,8.21,ハンターｘハンター:Greed Island,OVA,318,98042
Hunter x Hunter: Greed Island Final,8.29,ハンター×ハンター　G・I　Final,OVA,268,92109
