2020年,むかわ町,7650,3784,3866
2020年,日高町,11289,5711,5578
2020年,平取町,4760,2384,2376
2020年,新冠町,5315,2605,2710
2020年,浦河町,12083,5971,6112
2020年,様似町,4045,1924,2121
2020年,えりも町,4376,2232,2144
2020年,新ひだか町,21522,10476,11046
2020年,音更町,43613,20638,22975
2020年,士幌町,5854,2891,2963
2020年,上士幌町,4770,2341,2429
2020年,鹿追町,5270,2579,2691
2020年,新得町,5817,2902,2915
2020年,清水町,9106,4481,4625
2020年,芽室町,18078,8616,9462
2020年,中札内村,3891,1881,2010
2020年,更別村,3080,1518,1562
2020年,大樹町,5424,2713,2711
2020年,広尾町,6388,3097,3291
2020年,幕別町,25778,12246,13532
2020年,池田町,6299,2972,3327
2020年,豊頃町,3020,1478,1542
2020年,本別町,6624,3229,3395
2020年,足寄町,6562,3213,3349
2020年,陸別町,2265,1138,1127
2020年,浦幌町,4389,2140,2249
2020年,釧路町,19115,9102,10013
2020年,厚岸町,8893,4172,4721
2020年,浜中町,5511,2728,2783
2020年,標茶町,7230,3469,3761
2020年,弟子屈町,6961,3316,3645
2020年,鶴居村,2564,1257,1307
2020年,白糠町,7294,3414,3880
2020年,別海町,14382,7287,7095
2020年,中標津町,23023,11341,11682
2020年,標津町,5025,2460,2565
2020年,羅臼町,4721,2343,2378
2020年,青森県,1238730,583541,655189
2020年,青森市,275340,128099,147241
2020年,弘前市,168564,77274,91290
2020年,八戸市,223529,106836,116693
2020年,黒石市,31972,14791,17181
2020年,五所川原市,51435,23253,28182
2020年,十和田市,60420,28691,31729
2020年,三沢市,39181,19611,19570
2020年,むつ市,54122,26102,28020
2020年,つがる市,30979,14367,16612
2020年,平川市,30621,14191,16430
2020年,平内町,10129,4818,5311
2020年,今別町,2335,1120,1215
2020年,蓬田村,2543,1211,1332
2020年,外ヶ浜町,5410,2532,2878
2020年,鰺ヶ沢町,9047,4146,4901
2020年,深浦町,7346,3398,3948
2020年,西目屋村,1265,589,676
2020年,藤崎町,14578,6752,7826
2020年,大鰐町,8671,3936,4735
2020年,田舎館村,7328,3425,3903
2020年,板柳町,12712,5806,6906
2020年,鶴田町,12077,5553,6524
2020年,中泊町,9663,4433,5230
2020年,野辺地町,12389,5777,6612
2020年,七戸町,14564,6967,7597
2020年,六戸町,10456,5086,5370
2020年,横浜町,4231,2071,2160
2020年,東北町,16441,7844,8597
2020年,六ヶ所村,10369,5910,4459
2020年,おいらせ町,24282,11629,12653
2020年,大間町,4718,2373,2345
2020年,東通村,5956,3162,2794
2020年,風間浦村,1633,774,859
2020年,佐井村,1788,883,905
2020年,三戸町,9090,4293,4797
2020年,五戸町,16051,7682,8369
2020年,田子町,4970,2376,2594
2020年,南部町,16822,7884,8938
2020年,階上町,13506,6829,6677
2020年,新郷村,2197,1067,1130
2020年,岩手県,1211206,583082,628124
2020年,盛岡市,289893,136950,152943
2020年,宮古市,50401,24387,26014
2020年,大船渡市,34739,16686,18053
2020年,花巻市,93234,44428,48806
2020年,北上市,93089,46855,46234
2020年,久慈市,33063,15897,17166
2020年,遠野市,25381,12227,13154
2020年,一関市,111970,54260,57710
2020年,陸前高田市,18271,8836,9435
2020年,釜石市,32096,15364,16732
2020年,二戸市,25528,11992,13536
2020年,八幡平市,24042,11510,12532
2020年,奥州市,113027,54862,58165
2020年,滝沢市,55600,27143,28457
2020年,雫石町,15742,7500,8242
2020年,葛巻町,5638,2730,2908
2020年,岩手町,12294,5971,6323
2020年,紫波町,32166,15395,16771
2020年,矢巾町,28076,13345,14731
2020年,西和賀町,5137,2380,2757
2020年,金ケ崎町,15545,8035,7510
2020年,平泉町,7258,3502,3756
2020年,住田町,5050,2474,2576
2020年,大槌町,11013,5236,5777
2020年,山田町,14332,6902,7430
2020年,岩泉町,8732,4330,4402
2020年,田野畑村,3059,1527,1532
2020年,普代村,2489,1246,1243
2020年,軽米町,8423,4090,4333
2020年,野田村,3938,1863,2075
2020年,九戸村,5376,2554,2822
2020年,洋野町,15098,7102,7996
2020年,一戸町,11506,5503,6003
2020年,宮城県,2303487,1123010,1180477
2020年,仙台市,1097196,531722,565474
2020年,仙台市青葉区,311757,150976,160781
2020年,仙台市宮城野区,196813,96358,100455
2020年,仙台市若林区,141531,69634,71897
2020年,仙台市太白区,234875,112959,121916
2020年,仙台市泉区,212220,101795,110425
2020年,石巻市,140237,68316,71921
2020年,塩竈市,52249,24899,27350
2020年,気仙沼市,61171,29905,31266
2020年,白石市,32734,15981,16753
2020年,名取市,78757,38588,40169
2020年,角田市,27996,13806,14190
2020年,多賀城市,63276,31566,31710
